,block_name,block_type,zero_percentage
0,block1,expand,0.2440
1,block1,depthwise,0.3533
2,block2,expand,0.2732
3,block2,depthwise,0.4186
4,block3,expand,0.3986
5,block3,depthwise,0.2985
6,block4,expand,0.2183
7,block4,depthwise,0.5879
8,block5,expand,0.2873
9,block5,depthwise,0.6472
10,block6,expand,0.4654
11,block6,depthwise,0.1746
12,block7,expand,0.2145
13,block7,depthwise,0.6299
14,block8,expand,0.2468
15,block8,depthwise,0.6382
16,block9,expand,0.3732
17,block9,depthwise,0.6360
18,block10,expand,0.3469
19,block10,depthwise,0.3716
20,block11,expand,0.4506
21,block11,depthwise,0.6396
22,block12,expand,0.4962
23,block12,depthwise,0.6503
24,block13,expand,0.7302
25,block13,depthwise,0.3487
26,block14,expand,0.3511
27,block14,depthwise,0.6644
28,block15,expand,0.4356
29,block15,depthwise,0.7271
30,block16,expand,0.7614
31,block16,depthwise,0.3722
